Country,variable,FALSE_NA,FALSE_DEBT INSTRUMENTS,FALSE_DEBT RELIEF,FALSE_EQUITY AND SHARES IN COLLECTIVE INVESTMENT VEHICLES,FALSE_GRANTS,FALSE_LOAN,FALSE_OTHER SECURITIES/CLAIMS,TRUE_DEBT INSTRUMENTS,TRUE_GRANTS,TRUE_LOAN
Bangladesh,2016-01,147291.8540016,0,0,0,36888028.4190943,0,0,0,0,0
Bangladesh,2016-02,79815.202016,0,0,249218,60114969.2381267,0,0,0,0,0
Bangladesh,2016-03,10500028.7191078,110421168.721406,0,0,83766772.6733397,303305001,0,0,0,0
Bangladesh,2016-04,271627.052832,898583.709474,0,0,24766199.4205561,0,0,0,0,0
Bangladesh,2016-05,25339294.6247612,3481889.955744,0,0,43473559.5095229,0,0,0,0,0
Bangladesh,2016-06,42784023.2990641,270236970.054474,0,127631.25,147868800.652821,353075479,0,0,0,0
Bangladesh,2016-07,413408.517784,383692.912542,0,0,28613370.7051487,0,0,0,0,0
Bangladesh,2016-08,26220.34184,484228.237146,0,0,78015116.0303452,0,0,0,0,0
Bangladesh,2016-09,9525031.02005136,156564459.10986,0,0,90377230.7380709,140845840,0,0,0,0
Bangladesh,2016-10,43540.2044,58253587.979,0,0,30689948.5440038,0,0,0,0,0
Bangladesh,2016-11,150001.12512,48996250.808708,0,0,120179717.561516,0,0,0,0,0
Bangladesh,2016-12,56387275.9924515,230623262.635774,0,0,233625656.439923,215079927,0,0,0,0
Bangladesh,2017-01,152170.921955,19050347.257034,0,0,74244062.0032346,0,0,0,0,0
Bangladesh,2017-02,20745.690926,40866328.15866,0,30000,27114312.4053812,0,0,0,0,0
Bangladesh,2017-03,10224956.365174,36668837.530995,0,0,111014746.035974,380803745,0,0,0,0
Bangladesh,2017-04,47231.9915474,33375457.932563,0,0,28688615.5124882,0,0,0,0,0
Bangladesh,2017-05,55472.644788,72207474.767792,0,0,37060176.9802654,0,0,0,0,0
Bangladesh,2017-06,5932086.85122345,96717054.321103,0,0,159070166.031101,564967186,0,0,0,0
Bangladesh,2017-07,788233.434626,77803603.449145,0,44147.25,27932378.6177194,0,0,0,0,0
Bangladesh,2017-08,37343.809459,22621239.61,0,0,63030911.6639714,0,0,0,0,0
Bangladesh,2017-09,5186921.96789798,56830067.617447,0,0,168623325.602998,161231646,0,0,0,0
Bangladesh,2017-10,25970.41458,58432905.621132,0,0,74840644.2381496,0,0,0,0,0
Bangladesh,2017-11,792226.295139,122010498.051842,0,0,155973275.904245,0,0,0,0,0
Bangladesh,2017-12,246491538.893884,211095687.270348,0,0,414779611.212634,225641612,0,0,0,0
Bangladesh,2018-01,4336720.0654176,72898727.13355,0,0,70499284.2756843,0,0,0,0,0
Bangladesh,2018-02,721513.796191784,41303164.72,0,0,51634917.8851924,0,0,0,0,0
Bangladesh,2018-03,13339093.3578216,74068587.772256,0,53197.25,115446866.902806,407654564,0,0,0,0
Bangladesh,2018-04,22461213.3288608,35817366.217898,0,203862.75,59300830.3153207,0,0,0,0,0
Bangladesh,2018-05,2901293.203727,60272144.137012,0,0,60719146.1870462,0,0,0,0,0
Bangladesh,2018-06,11007492.3390647,135168203.064134,0,146621.5,223111656.475429,539260509,0,0,0,0
Bangladesh,2018-07,1304077.8665836,103032581.989651,0,30000,61939123.3799189,0,0,0,0,0
Bangladesh,2018-08,1270943.33684,50173606.38,0,0,81841156.1413528,0,0,0,0,0
Bangladesh,2018-09,62123790.6909838,77410940.182659,0,0,253173782.188122,223881555,0,0,0,0
Bangladesh,2018-10,1275108.542308,98068927.35,0,0,72614537.4688182,0,0,0,0,0
Bangladesh,2018-11,14785658.010595,105822053.016879,0,254900.75,174171072.305973,0,0,0,0,0
Bangladesh,2018-12,313388431.188811,219501824.809936,0,10033.5,594714560.962609,390500801,0,0,0,0
Bangladesh,2019-01,3641010.90404102,48070737.680984,0,0,44963281.1787651,0,0,0,0,0
Bangladesh,2019-02,1550690.0053361,61484618.9832,0,54080.25,92975203.6266286,0,0,0,0,0
Bangladesh,2019-03,12619499.8298993,64535609.626752,0,450000,191371847.354155,647796608,0,0,0,0
Bangladesh,2019-04,1731121.89292385,116756539.77012,0,0,78407356.9197397,0,0,0,0,0
Bangladesh,2019-05,1201340.44609275,94754213.85588,0,0,119309985.567319,0,0,0,0,0
Bangladesh,2019-06,51570117.3402131,252601116.32308,0,0,205582336.625113,671912410,0,0,0,0
Bangladesh,2019-07,357584.38901207,91946188.63164,0,30000,97440681.476713,0,0,0,0,0
Bangladesh,2019-08,12936571.0247005,75547866.07316,0,0,164580035.169469,0,0,0,0,0
Bangladesh,2019-09,7878170.1269619,47464531.191096,0,0,301138586.593489,144766899,0,0,0,0
Bangladesh,2019-10,6853845.234352,104826787.059312,0,62809.25,122731600.800707,0,0,0,0,0
Bangladesh,2019-11,191658.9771717,57765150.938168,0,0,168445781.486106,0,0,0,0,0
Bangladesh,2019-12,179239837.89341,411344983.11992,0,0,465420551.806126,313707353,0,0,0,0
Bangladesh,2020-01,6867440.6895109,1107790.18646,0,0,66007566.8617451,0,0,0,0,0
Bangladesh,2020-02,19934008.201893,57507093.79802,0,262157.5,110241367.391312,0,0,0,0,0
Bangladesh,2020-03,16401014.491974,246742856.64,0,0,157499635.858641,243099652,0,0,106599.39498,0
Bangladesh,2020-04,1993327.7037285,43700263.04,0,0,60715259.8486941,0,0,0,27401169.34689,0
Bangladesh,2020-05,4309572.627575,47870458.849227,0,0,182018833.318901,0,0,5e+08,2540346.416145,0
Bangladesh,2020-06,3718260.15805335,116416267.481778,0,40303,727611683.579802,388388546,0,1e+07,50831657.311935,279718754
Bangladesh,2020-07,707419.17802675,51631666.866623,0,0,162673097.714149,33095952,0,0,7567818.04302,8625755
Cameroon,2016-01,0,162894.9835,0,0,8760628.232884,0,0,0,0,0
Cameroon,2016-02,0,292887.1469,0,0,18890852.0000797,0,0,0,0,0
Cameroon,2016-03,7877236.73691152,141059.474352,0,0,24032500.682914,30319122,0,0,0,0
Cameroon,2016-04,0,258850.59745,0,0,9991378.11237429,0,0,0,0,0
Cameroon,2016-05,703.388416,831451.102132,0,0,5112698.024576,0,0,0,0,0
Cameroon,2016-06,7363113.361376,781282.351896,0,0,15437749.264406,42550878,0,0,0,0
Cameroon,2016-07,1249,1805484.357394,0,0,5138287.072346,0,0,0,0,0
Cameroon,2016-08,35,216863.363548,0,0,6446920.196568,0,0,0,0,0
Cameroon,2016-09,7682515.893662,693201.775584,0,0,27189560.5641836,25758497,0,0,0,0
Cameroon,2016-10,0,406003.59431,0,0,10937490.262092,0,0,0,0,0
Cameroon,2016-11,1778.7,811486.110906,0,0,10203846.875406,0,0,0,0,0
Cameroon,2016-12,28586201.230037,255695453.421622,0,-604783.552796,221967077.860322,21207468,0,0,0,0
Cameroon,2017-01,40815,554175.601232,0,0,5382166.36938634,0,0,0,0,0
Cameroon,2017-02,4021065.206737,595734.095902,0,0,9532308.21400945,0,0,0,0,0
Cameroon,2017-03,18128321.7375434,870435.630724,0,0,30078241.2131145,36198193,0,0,0,0
Cameroon,2017-04,108,677702.864652,0,0,19561779.5797463,0,0,0,0,0
Cameroon,2017-05,12,-84394.047177,0,0,25452884.7524324,0,0,0,0,0
Cameroon,2017-06,14416469.097528,119041.267642,0,0,26145084.4508251,32045489,0,0,0,0
Cameroon,2017-07,8388217.32759,647479.277918,0,0,40566904.7723895,0,0,0,0,0
Cameroon,2017-08,5073392.845147,786235.497245,0,0,17100254.7178354,0,0,0,0,0
Cameroon,2017-09,7472791.167011,1010440.669777,0,0,32085156.6765121,22332954,0,0,0,0
Cameroon,2017-10,2053540.217542,0,0,0,13523170.0666503,0,0,0,0,0
Cameroon,2017-11,5305712.889217,197692.245311,0,0,20464673.7054028,0,0,0,0,0
Cameroon,2017-12,12026703.9860737,214185206.541876,0,0,313497050.121376,254431956,0,0,0,0
Cameroon,2018-01,227912078.134233,246568.040093,0,0,13728514.133138,0,0,0,0,0
Cameroon,2018-02,6416384.14769,0,0,0,9180310.73500112,0,0,0,0,0
Cameroon,2018-03,32626500.003159,0,0,0,33028016.0358813,33811405,0,0,0,0
Cameroon,2018-04,11989752.270886,1608762.967252,0,0,32040923.0881165,0,0,0,0,0
Cameroon,2018-05,2549381.865063,0,0,0,20022810.4346205,0,0,0,0,0
Cameroon,2018-06,3582749.709516,925403.879523,0,0,39854700.4526282,77046309,0,0,0,0
Cameroon,2018-07,9497215.85058156,951606.793944,0,0,14125114.3391736,0,0,0,0,0
Cameroon,2018-08,3605593.242619,495892.143695,0,0,19993729.2716416,0,0,0,0,0
Cameroon,2018-09,4410751.36309112,196351.617421,0,0,42811365.0429654,37578319,0,0,0,0
Cameroon,2018-10,15890542.8967304,897784.739445,0,0,20464078.4900639,0,0,0,0,0
Cameroon,2018-11,1286064.25542828,0,0,0,44762197.0110676,0,0,0,0,0
Cameroon,2018-12,187107705.87479,267486920.788583,0,0,347141788.737166,6428450,0,0,0,0
Cameroon,2019-01,8771461.3184248,0,0,0,15070481.9425238,0,0,0,0,0
Cameroon,2019-02,25476945.567583,0,0,0,26068281.1284168,0,0,0,0,0
Cameroon,2019-03,4263534.17365623,0,0,0,29832882.3079601,22984579,0,0,0,0
Cameroon,2019-04,2952355.32485348,1530098.30556,0,0,29779943.1820287,0,0,0,0,0
Cameroon,2019-05,8210218.35895968,0,0,0,46833111.6618824,0,0,0,0,0
Cameroon,2019-06,1424508.37101512,0,0,0,45075132.2147724,21552911,0,0,0,0
Cameroon,2019-07,17105366.434896,600385.028848,0,0,40664919.3881582,0,0,0,0,0
Cameroon,2019-08,2977129.72533944,388974.503456,0,0,27077845.006522,0,0,0,0,0
Cameroon,2019-09,8453869.01578022,2124354.30812,0,0,64314049.7904953,26840031,0,0,0,0
Cameroon,2019-10,8793192.945664,1621825.89888,0,0,39388135.2275782,0,0,0,0,0
Cameroon,2019-11,3981842.8006586,198582.8944,0,0,24854343.366564,0,0,0,0,0
Cameroon,2019-12,22040725.6511208,219979225.293708,0,0,389250418.573224,222809560,0,0,0,0
Cameroon,2020-01,23432245.3394994,0,0,0,14381495.8141134,0,0,0,0,0
Cameroon,2020-02,90490802.3390168,2180059.522334,0,0,53564039.8152111,0,0,0,0,0
Cameroon,2020-03,6788608.46565677,4904928.871952,0,0,55853464.2538473,29923037,0,0,3940206.67348282,0
Cameroon,2020-04,40402105.8578371,0,0,0,20755551.3299525,0,0,0,5369772.835,0
Cameroon,2020-05,25057837.2869626,821244.508713,0,0,22916220.3347162,0,0,0,2812464.258244,0
Cameroon,2020-06,7318108.66639356,429213.548114,0,0,258975035.135625,21136366,0,0,2653300.214,6113686
Cameroon,2020-07,8850011.18192556,85784114.91726,0,0,43545858.5376004,5001573,0,0,15643207.5670837,0
Somalia,2016-01,0,0,0,0,28337991.98483,0,0,0,0,0
Somalia,2016-02,336237.2809424,0,0,0,32751348.465692,0,0,0,0,0
Somalia,2016-03,4796579.6062456,0,0,0,89295311.4087088,0,0,0,0,0
Somalia,2016-04,4772429.9692912,0,0,0,51486016.000214,0,0,0,0,0
Somalia,2016-05,1827155.5636,0,0,0,40535545.621806,0,0,0,0,0
Somalia,2016-06,1688101.94634687,0,0,0,98448951.208892,0,0,0,0,0
Somalia,2016-07,2362702.57,0,0,0,28218260.8927604,0,0,0,0,0
Somalia,2016-08,1116041.8970256,0,0,0,29794117.6024553,0,0,0,0,0
Somalia,2016-09,3288316.999648,0,0,0,64336672.7699119,0,0,0,0,0
Somalia,2016-10,2242823.0223488,0,0,0,37686696.0409747,0,0,0,0,0
Somalia,2016-11,2393293.6,0,0,0,34975877.2903249,0,0,0,0,0
Somalia,2016-12,327325845.358004,0,0,0,573744990.572662,0,0,0,0,0
Somalia,2017-01,3236072.510048,0,0,0,54531678.4892124,0,0,0,0,0
Somalia,2017-02,3087558.2692752,0,0,0,90776751.5348872,0,0,0,0,0
Somalia,2017-03,14532940.4571961,0,0,0,215658767.815922,0,0,0,0,0
Somalia,2017-04,6000191.469914,0,0,0,148412910.850437,0,0,0,0,0
Somalia,2017-05,3654442.914516,0,0,0,154030391.528375,0,0,0,0,0
Somalia,2017-06,6572940.675061,0,0,0,185965787.491756,0,0,0,0,0
Somalia,2017-07,2421295.2132287,0,0,0,119524373.738249,0,0,0,0,0
Somalia,2017-08,1217142.073956,0,0,0,80931335.6046174,0,0,0,0,0
Somalia,2017-09,35468465.817118,0,0,0,449461727.795447,0,0,0,0,0
Somalia,2017-10,4002914.968411,0,0,0,90604683.6710643,0,0,0,0,0
Somalia,2017-11,6663304.528007,0,0,0,103640937.314409,0,0,0,0,0
Somalia,2017-12,475539068.270869,0,0,0,817486054.13098,0,0,0,0,0
Somalia,2018-01,8891024.9171806,0,0,0,54802037.6470728,0,0,0,0,0
Somalia,2018-02,5526179.704027,0,0,0,59214890.0062426,0,0,0,0,0
Somalia,2018-03,16928271.459884,0,0,0,221849628.874863,0,0,0,0,0
Somalia,2018-04,3315121.25243024,0,0,0,70158636.0848287,0,0,0,0,0
Somalia,2018-05,12111789.7594771,0,0,0,100037952.121877,0,0,0,0,0
Somalia,2018-06,7441257.6384738,0,0,0,395472771.478574,0,0,0,0,0
Somalia,2018-07,3067180.9772396,0,0,0,99669893.8300445,0,0,0,0,0
Somalia,2018-08,4006440.6585572,0,0,0,71610048.3547132,0,0,0,0,0
Somalia,2018-09,6432422.17939076,0,0,0,395926133.024751,0,0,0,0,0
Somalia,2018-10,1770829.90288736,0,0,0,120262666.679978,0,0,0,0,0
Somalia,2018-11,7019987.55114352,0,0,0,105507949.576002,0,0,0,0,0
Somalia,2018-12,164062519.644833,0,0,0,706034918.810439,0,1743474.523611,0,0,0
Somalia,2019-01,15277281.5548211,0,0,0,49171970.9628829,0,0,0,0,0
Somalia,2019-02,4290380.30361,0,0,0,85157742.0505071,0,0,0,0,0
Somalia,2019-03,4094885.1248184,0,0,0,205435172.588483,0,0,0,0,0
Somalia,2019-04,12486315.9584701,0,0,0,149532664.892707,0,0,0,0,0
Somalia,2019-05,20113319.58524,0,0,0,113559764.82444,0,0,0,0,0
Somalia,2019-06,9257753.417802,0,0,0,234997717.098636,0,0,0,0,0
Somalia,2019-07,2309360.83508051,0,0,0,137876427.32247,0,0,0,0,0
Somalia,2019-08,5699904.46151777,0,0,0,207574300.324894,0,0,0,0,0
Somalia,2019-09,25775253.2810191,0,0,0,255450647.478983,0,0,0,0,0
Somalia,2019-10,3235874.189337,0,0,0,193854516.250197,0,0,0,0,0
Somalia,2019-11,3017890.926724,0,0,0,151537203.563247,0,0,0,0,0
Somalia,2019-12,94899765.030464,0,0,0,523020270.799279,5e+05,320238.052432,0,0,0
Somalia,2020-01,20598861.656661,0,0,0,75552942.7108307,0,0,0,0,0
Somalia,2020-02,1905209.73596,0,0,0,121974437.555186,0,0,0,0,0
Somalia,2020-03,131200601.218123,0,0,0,137933112.318446,408369308,0,0,6760301.0015,0
Somalia,2020-04,10709169.502845,0,48108000,0,110974343.715157,0,0,0,16525011.025,0
Somalia,2020-05,8501.97328299998,0,0,0,108577125.312192,0,0,0,17208456.07544,0
Somalia,2020-06,12797809.2792733,0,0,0,255319920.279491,77774109,0,0,17643083.099,0
Somalia,2020-07,1098972.194487,0,0,0,160752871.092034,28089,0,0,35058317.8615,0
